tenant_code,facility_code,signal_master_name,signal_id,severity,status,timestamp
iconic,8003,SLA BREACH RISK,69d8a7f4f021bd58b2f8255e,low,RESOLVED,2026-04-24T14:25:00.787Z
athletifreak,athletifreak_1,SLA BREACH RISK,69d8a7f4f021bd58b2f8255e,LOW,RESOLVED,2026-04-29T08:37:11.721Z
indus,TIV_Bangalore,SLA BREACH RISK,69d8a7f4f021bd58b2f8255e,LOW,RESOLVED,2026-04-29T08:35:37.863Z
futuremakeup,AMAZON_CCX2,SLA BREACH RISK,69d8a7f4f021bd58b2f8255e,LOW,RESOLVED,2026-04-29T09:06:45.279Z
curefit,Neuherbs,SLA BREACH RISK,69d8a7f4f021bd58b2f8255e,LOW,RESOLVED,2026-04-29T08:33:18.855Z
balwan,RJ01,SLA BREACH RISK,69d8a7f4f021bd58b2f8255e,warning,RESOLVED,2026-04-25T06:12:18.926Z
balwan,RJ01,SLA BREACH RISK,69d8a7f4f021bd58b2f8255e,warning,RESOLVED,2026-04-25T07:48:03.470Z
balwan,RJ01,SLA BREACH RISK,69d8a7f4f021bd58b2f8255e,critical,RESOLVED,2026-04-25T09:02:07.895Z
balwan,RJ01,SLA BREACH RISK,69d8a7f4f021bd58b2f8255e,low,RESOLVED,2026-04-26T05:25:58.654Z
curefit,Delhi_Amazon_SF,SLA BREACH RISK,69d8a7f4f021bd58b2f8255e,LOW,RESOLVED,2026-04-29T08:35:54.130Z
guiltfree,W120,SLA BREACH RISK,69d8a7f4f021bd58b2f8255e,LOW,RESOLVED,2026-04-29T08:58:15.779Z
curefit,AMAZON_FBA_IN_SLKY,SLA BREACH RISK,69d8a7f4f021bd58b2f8255e,LOW,RESOLVED,2026-04-29T08:39:04.498Z
shpl,BLR,SLA BREACH RISK,69d8a7f4f021bd58b2f8255e,warning,RESOLVED,2026-04-25T01:58:59.362Z
shpl,BLR,SLA BREACH RISK,69d8a7f4f021bd58b2f8255e,warning,RESOLVED,2026-04-25T02:34:32.211Z
shpl,BLR,SLA BREACH RISK,69d8a7f4f021bd58b2f8255e,warning,RESOLVED,2026-04-25T03:44:29.179Z
shpl,BLR,SLA BREACH RISK,69d8a7f4f021bd58b2f8255e,warning,RESOLVED,2026-04-25T04:19:20.563Z
shpl,BLR,SLA BREACH RISK,69d8a7f4f021bd58b2f8255e,critical,RESOLVED,2026-04-25T04:54:23.068Z
shpl,BLR,SLA BREACH RISK,69d8a7f4f021bd58b2f8255e,critical,RESOLVED,2026-04-25T05:51:52.781Z
shpl,BLR,SLA BREACH RISK,69d8a7f4f021bd58b2f8255e,warning,RESOLVED,2026-04-25T06:52:58.522Z
shpl,BLR,SLA BREACH RISK,69d8a7f4f021bd58b2f8255e,warning,RESOLVED,2026-04-25T08:14:55.143Z
shpl,BLR,SLA BREACH RISK,69d8a7f4f021bd58b2f8255e,warning,RESOLVED,2026-04-25T08:30:22.070Z
shpl,BLR,SLA BREACH RISK,69d8a7f4f021bd58b2f8255e,critical,RESOLVED,2026-04-25T09:45:27.395Z
shpl,BLR,SLA BREACH RISK,69d8a7f4f021bd58b2f8255e,critical,RESOLVED,2026-04-26T05:47:30.056Z
shpl,BLR,SLA BREACH RISK,69d8a7f4f021bd58b2f8255e,critical,RESOLVED,2026-04-26T06:20:14.503Z
shpl,BLR,SLA BREACH RISK,69d8a7f4f021bd58b2f8255e,warning,RESOLVED,2026-04-26T06:39:31.404Z
shpl,BLR,SLA BREACH RISK,69d8a7f4f021bd58b2f8255e,warning,RESOLVED,2026-04-26T07:07:24.056Z
shpl,BLR,SLA BREACH RISK,69d8a7f4f021bd58b2f8255e,low,RESOLVED,2026-04-26T07:35:15.158Z
shpl,BLR,SLA BREACH RISK,69d8a7f4f021bd58b2f8255e,low,RESOLVED,2026-04-26T11:02:30.911Z
curefit,Namhya_Foods,SLA BREACH RISK,69d8a7f4f021bd58b2f8255e,LOW,RESOLVED,2026-04-29T08:34:00.489Z
